hr, targetSPN(difficulty), avgDelta (real difficulty), hrthres
0,0.97848,0.97848,107.6
101,0.9767911,0.9768592,107.6
100,0.9193925,0.9760485,107.6
100,0.8450837,0.9640336,107.6
99,0.7659927,0.9580257,107.6
99,0.6828571,0.9782418,107.6
99,0.5978103,0.7097105,107.6
99,0.5586315,0.6218846,107.6
100,0.5153866,0.6592418,107.6
100,0.4630313,0.4573308,107.6
100,0.4427645,0.7162843,107.6
100,0.368453,0.8573711,107.6
101,0.3005855,0.8814749,107.6
102,0.2433185,1.056066,107.6
102,0.173629,0.6441332,107.6
102,0.1630511,0.5426562,107.6
102,0.1369175,0.7821666,107.6
102,0.08091756,0.8787027,107.6
101,0.01931758,0.671551,107.6
101,-0.0114824,0.5795852,107.6
101,-0.04301574,0.3942819,107.6
101,-0.05768243,0.55705,107.6
100,-0.1074601,0.5223347,107.6
100,-0.1429268,0.3772677,107.6
100,-0.1623491,0.3279532,107.6
100,-0.1826158,0.651596,107.6
99,-0.2641934,0.8134165,107.6
99,-0.3473264,0.6505179,107.6
99,-0.3922374,0.5574586,107.6
99,-0.431415,0.7779578,107.6
99,-0.5164596,0.6095685,107.6
99,-0.5546829,0.560204,107.6
100,-0.5979727,0.3962023,107.6
100,-0.6157055,0.3025905,107.6
100,-0.6300606,0.2557855,107.6
100,-0.6486378,0.2556022,107.6
100,-0.6680595,0.2439004,107.6
101,-0.6843923,0.2496606,107.6
101,-0.7012586,0.3918591,107.6
101,-0.7379244,0.6835489,107.6
102,-0.7947678,0.5623641,107.6
102,-0.8190341,0.5366018,107.6
103,-0.8441006,0.7559193,107.6
104,-0.8884783,0.6217703,107.6
104,-0.9056786,0.566304,107.6
104,-0.9232789,1.60669,107.6
104,-1.019678,1.035544,107.6
104,-1.035676,0.6454822,107.6
104,-1.044874,0.4272314,107.6
104,-1.052873,0.3297141,107.6
103,-1.062829,0.2809573,107.6
103,-1.072541,0.244969,107.6
103,-1.083276,0.3546832,107.6
103,-1.103723,0.3863221,107.6
103,-1.123658,0.4253598,107.6
103,-1.145128,0.4332705,107.6
103,-1.165063,0.3327336,107.6
103,-1.175798,0.2824671,107.6
104,-1.18453,0.3618242,107.6
104,-1.200128,0.4015008,107.6
104,-1.216926,0.3052407,107.6
104,-1.223325,0.2687187,107.6
104,-1.231724,0.36656,107.6
104,-1.248522,0.3922586,107.6
104,-1.26452,0.43994,107.6
104,-1.281317,0.4405587,107.6
104,-1.297315,0.4292599,107.6
103,-1.315561,0.4468287,107.6
103,-1.336519,0.3279046,107.6
103,-1.346231,0.2916626,107.6
104,-1.356765,0.2735398,107.6
104,-1.366364,0.2180401,107.6
104,-1.372763,0.3412207,107.6
104,-1.389561,0.4028091,107.6
103,-1.407717,0.4219932,107.6
103,-1.428675,0.4199772,107.6
103,-1.449121,0.4305773,107.6
101,-1.474768,0.342999,107.6
101,-1.490902,0.2875998,107.6
101,-1.505569,0.3527786,107.6
100,-1.535682,0.2692695,107.6
100,-1.54666,0.2623451,107.6
100,-1.568617,0.258881,107.6
100,-1.587195,0.2223207,107.6
100,-1.601551,0.343361,107.6
101,-1.634909,0.4154893,107.6
101,-1.66791,0.4283352,107.6
101,-1.695779,0.4347563,107.6
102,-1.721336,0.4263587,107.6
102,-1.745605,0.4569881,107.6
102,-1.772985,0.4374727,107.6
102,-1.795387,0.3348367,107.6
102,-1.809077,0.2719086,107.6
102,-1.820278,0.356543,107.6
104,-1.84379,0.4104721,107.6
104,-1.860188,0.4258248,107.6
104,-1.876186,0.445113,107.6
105,-1.891095,0.3270449,107.6
105,-1.896583,0.2680127,107.6
105,-1.901782,0.366207,107.6
105,-1.913913,0.2875919,107.6
105,-1.919112,0.2598962,107.6
105,-1.925756,0.3505387,107.6
105,-1.936732,0.4074681,107.6
105,-1.948575,0.4359328,107.6
105,-1.960995,0.438557,107.6
105,-1.972549,0.4282571,107.6
105,-1.982947,0.4579392,107.6
105,-1.995656,0.3334599,107.6
105,-2.001434,0.2828283,107.6
106,-2.007235,0.2575145,107.6
106,-2.01097,0.2216375,107.6
106,-2.013816,0.2385272,107.6
106,-2.017729,0.2237539,107.6
106,-2.021108,0.3440776,107.6
107,-2.02669,0.3810174,107.6
107,-2.029293,0.4110993,107.6
107,-2.03183,0.4261383,107.6
108,-2.031456,0.3291695,107.6
108,-2.030525,0.2806832,107.6
108,-2.029594,0.3609322,107.6
108,-2.027909,0.2849564,107.6
109,-2.026244,0.2701866,107.6
109,-2.022824,0.2395836,107.6
109,-2.019871,0.2242821,107.6
109,-2.016762,0.3443398,107.6
109,-2.010544,0.3927605,107.6
109,-2.004326,0.4169689,107.6
109,-1.997951,0.4522932,107.6
109,-1.991106,0.4351272,107.6
109,-1.98535,0.4613723,107.6
109,-1.97866,0.3351783,107.6
109,-1.97586,0.2720776,107.6
109,-1.972593,0.2521391,107.6
109,-1.969482,0.2421699,107.6
109,-1.965904,0.3416736,107.6
109,-1.960148,0.3798174,107.6
109,-1.954236,0.3176171,107.6
109,-1.950502,0.2632969,107.6
109,-1.947391,0.3638491,107.6
109,-1.941324,0.4025132,107.6
109,-1.935101,0.3057488,107.6
109,-1.93199,0.2689747,107.6
109,-1.928878,0.2621958,107.6
109,-1.925145,0.2239781,107.6
109,-1.922811,0.2280894,107.6
109,-1.919389,0.230145,107.6
109,-1.916122,0.2195609,107.6
109,-1.913166,0.2374889,107.6
109,-1.909588,0.3393331,107.6
109,-1.903365,0.3786471,107.6
109,-1.897609,0.4099122,107.6
109,-1.891386,0.4487687,107.6
109,-1.884697,0.3172646,107.6
109,-1.882052,0.2863407,107.6
109,-1.87863,0.2476587,107.6
109,-1.875674,0.2283216,107.6
109,-1.872718,0.2418692,107.6
109,-1.868985,0.2138149,107.6
109,-1.86634,0.2462278,107.6
109,-1.862451,0.2159941,107.6
109,-1.859962,0.3401939,107.6
109,-1.853428,0.2745891,107.6
109,-1.850628,0.2533949,107.6
109,-1.847205,0.2311858,107.6
112,-1.84276,0.2549133,107.6
112,-1.830539,0.3248253,107.6
112,-1.813917,0.278513,107.6
112,-1.80365,0.2437449,107.6
112,-1.794362,0.354073,107.6
112,-1.773829,0.2815249,107.6
112,-1.765029,0.2568628,107.6
112,-1.754274,0.360632,107.6
111,-1.734674,0.3892966,107.6
111,-1.719941,0.3107486,107.6
111,-1.712008,0.2714708,107.6
111,-1.705208,0.2402276,107.6
111,-1.697652,0.2478222,107.6
112,-1.687519,0.3328917,107.6
112,-1.668942,0.2825462,107.6
112,-1.658675,0.2573734,107.6
112,-1.647431,0.2215631,107.6
112,-1.640098,0.2384938,107.6
112,-1.629343,0.2005152,107.6
112,-1.62201,0.239578,107.6
112,-1.609299,0.2242774,107.6
112,-1.600499,0.228239,107.6
112,-1.590232,0.2302198,107.6
113,-1.578077,0.2312102,107.6
113,-1.566678,0.3361938,107.6
113,-1.542078,0.3886856,107.6
114,-1.516635,0.4265434,107.6
114,-1.486769,0.4454723,107.6
114,-1.457615,0.3156164,107.6
114,-1.446238,0.2739085,107.6
114,-1.429883,0.2530507,107.6
114,-1.414239,0.2310176,107.6
114,-1.401439,0.3477094,107.6
114,-1.373707,0.2783431,107.6
116,-1.355486,0.2552719,107.6
116,-1.334953,0.3482246,107.6
116,-1.297622,0.394701,107.6
118,-1.261045,0.3250628,107.6
118,-1.23331,0.2670197,107.6
118,-1.212509,0.2496102,107.6
118,-1.187086,0.2409054,107.6
118,-1.162818,0.3294294,107.6
119,-1.114416,0.280815,107.6
119,-1.092882,0.2448997,107.6
119,-1.066281,0.3662586,107.6
119,-1.010545,0.2760096,107.6
121,-0.9883447,0.2657132,107.6
121,-0.952612,0.3418372,107.6
121,-0.9005017,0.4031192,107.6
122,-0.8352578,0.4221483,107.6
122,-0.7712567,0.3271745,107.6
122,-0.7360561,0.2680756,107.6
122,-0.7104557,0.3662384,107.6
123,-0.6405435,0.2876076,107.6
123,-0.6097431,0.248296,107.6
123,-0.5755205,0.2402445,107.6
123,-0.5378757,0.2362226,107.6
123,-0.503653,0.2342116,107.6
124,-0.4680974,0.2332061,107.6
124,-0.4298305,0.2210914,107.6
124,-0.3952081,0.226646,107.6
124,-0.3551189,0.2294233,107.6
124,-0.3186743,0.2772521,107.6
124,-0.2676517,0.3011665,107.6
124,-0.2129851,0.394392,107.6
124,-0.1364519,0.4061766,107.6
124,-0.0635629,0.3191848,107.6
124,-0.02529624,0.2756927,107.6
124,0.01479265,0.3584388,107.6
124,0.08221491,0.3998081,107.6
123,0.1547483,0.4321009,107.6
123,0.224904,0.3205426,107.6
123,0.2574151,0.2647597,107.6
122,0.2875483,0.3645805,107.6
122,0.3547482,0.4028789,107.6
122,0.4171481,0.4220281,107.6
122,0.482748,0.4316066,107.6
122,0.5451487,0.4480001,107.6
122,0.6155499,0.6651812,107.6
120,0.7218598,0.7853799,107.6
118,0.8246593,0.8338673,107.6
117,0.9137927,0.869723,107.6
117,1.000482,0.992143,107.6
116,1.094144,1.053349,107.6
116,1.18654,1.200052,107.6
115,1.289624,1.285016,107.6
116,1.391753,1.304274,107.6
116,1.501881,1.546108,107.6
117,1.660629,1.66702,107.6
117,1.829821,1.727481,107.6
118,2.004264,1.989908,107.6
120,2.262141,2.330102,107.6
121,2.602751,2.674347,107.6
119,2.991851,2.974179,107.6
117,3.332913,3.263414,107.6
115,3.623959,3.651849,107.6
111,3.843351,3.85767,107.6
110,3.967162,3.925745,107.6
109,4.053699,3.994618,107.6
108,4.095417,4.110331,107.6
