hr, targetSPN(difficulty), avgDelta (real difficulty), hrthres
0,0.9994022,1.700517,107.6
0,0.9988045,1.700517,107.6
0,0.9982067,1.804395,107.6
0,0.9976089,1.804395,107.6
0,0.9970111,1.804395,107.6
0,0.9964134,1.804395,107.6
0,0.9958156,1.804395,107.6
0,0.9952178,1.804395,107.6
0,0.99462,1.804395,107.6
0,0.9940223,1.804395,107.6
0,0.9934245,1.804395,107.6
0,0.9928267,1.804395,107.6
0,0.9922289,1.804395,107.6
0,0.9916312,1.804395,107.6
0,0.9910334,1.804395,107.6
0,0.9904356,1.804395,107.6
0,0.9898378,1.804395,107.6
0,0.9892401,1.804395,107.6
0,0.9886423,1.804395,107.6
0,0.9880445,1.804395,107.6
0,0.9874467,1.804395,107.6
0,0.986849,1.804395,107.6
0,0.9862512,1.804395,107.6
0,0.9856534,1.804395,107.6
0,0.9850556,1.804395,107.6
0,0.9844579,1.804395,107.6
0,0.9838601,1.804395,107.6
0,0.9832623,1.804395,107.6
0,0.9826645,1.804395,107.6
0,0.9820668,1.804395,107.6
0,0.981469,1.804395,107.6
0,0.9808712,1.804395,107.6
0,0.9802734,1.804395,107.6
0,0.9796757,1.804395,107.6
0,0.9790779,1.804395,107.6
0,0.9784801,1.804395,107.6
0,0.9778823,1.804395,107.6
0,0.9772846,1.804395,107.6
0,0.9766868,1.804395,107.6
0,0.976089,1.804395,107.6
0,0.9754912,1.804395,107.6
0,0.9748935,1.804395,107.6
0,0.9742957,1.804395,107.6
0,0.9736979,1.804395,107.6
0,0.9731001,1.804395,107.6
0,0.9725024,1.804395,107.6
0,0.9719046,1.804395,107.6
0,0.9713068,1.804395,107.6
0,0.970709,1.804395,107.6
0,0.9701113,1.804395,107.6
0,0.9695135,1.804395,107.6
0,0.9689157,1.804395,107.6
0,0.9683179,1.804395,107.6
0,0.9677202,1.804395,107.6
0,0.9671224,1.804395,107.6
0,0.9665246,1.804395,107.6
0,0.9659268,1.804395,107.6
0,0.9653291,1.804395,107.6
0,0.9647313,1.804395,107.6
0,0.9641335,1.804395,107.6
0,0.9635357,1.804395,107.6
0,0.962938,1.804395,107.6
0,0.9623402,1.804395,107.6
0,0.9617424,1.804395,107.6
0,0.9611446,1.804395,107.6
0,0.9605469,1.804395,107.6
0,0.9599491,1.804395,107.6
0,0.9593513,1.804395,107.6
0,0.9587535,1.804395,107.6
0,0.9581558,1.804395,107.6
0,0.957558,1.804395,107.6
0,0.9569602,1.804395,107.6
0,0.9563624,1.804395,107.6
0,0.9557647,1.804395,107.6
0,0.9551669,1.804395,107.6
0,0.9545691,1.804395,107.6
0,0.9539713,1.804395,107.6
0,0.9533736,1.804395,107.6
0,0.9527758,1.804395,107.6
0,0.952178,1.804395,107.6
0,0.9515802,1.804395,107.6
0,0.9509825,1.804395,107.6
0,0.9503847,1.804395,107.6
0,0.9497869,1.804395,107.6
0,0.9491891,1.804395,107.6
0,0.9485914,1.804395,107.6
0,0.9479936,1.804395,107.6
0,0.9473958,1.804395,107.6
0,0.946798,1.804395,107.6
0,0.9462003,1.804395,107.6
0,0.9456025,1.804395,107.6
0,0.9450047,1.804395,107.6
0,0.9444069,1.804395,107.6
0,0.9438092,1.804395,107.6
0,0.9432114,1.804395,107.6
0,0.9426136,1.804395,107.6
0,0.9420158,1.804395,107.6
0,0.9414181,1.804395,107.6
0,0.9408203,1.804395,107.6
0,0.9402225,1.804395,107.6
0,0.9396247,1.804395,107.6
0,0.939027,1.804395,107.6
0,0.9384292,1.804395,107.6
0,0.9378314,1.804395,107.6
0,0.9372336,1.804395,107.6
0,0.9366359,1.804395,107.6
0,0.9360381,1.804395,107.6
0,0.9354403,1.804395,107.6
0,0.9348425,1.804395,107.6
0,0.9342448,1.804395,107.6
0,0.933647,1.804395,107.6
0,0.9330492,1.804395,107.6
0,0.9324514,1.804395,107.6
0,0.9318537,1.804395,107.6
0,0.9312559,1.804395,107.6
0,0.9306581,1.804395,107.6
0,0.9300603,1.804395,107.6
0,0.9294626,1.804395,107.6
0,0.9288648,1.804395,107.6
0,0.928267,1.804395,107.6
0,0.9276692,1.804395,107.6
0,0.9270715,1.804395,107.6
0,0.9264737,1.804395,107.6
0,0.9258759,1.804395,107.6
0,0.9252781,1.804395,107.6
0,0.9246804,1.804395,107.6
0,0.9240826,1.804395,107.6
0,0.9234848,1.804395,107.6
0,0.922887,1.804395,107.6
0,0.9222893,1.804395,107.6
0,0.9216915,1.804395,107.6
0,0.9210937,1.804395,107.6
0,0.9204959,1.804395,107.6
0,0.9198982,1.804395,107.6
0,0.9193004,1.804395,107.6
0,0.9187026,1.804395,107.6
0,0.9181048,1.804395,107.6
0,0.9175071,1.804395,107.6
0,0.9169093,1.804395,107.6
0,0.9163115,1.804395,107.6
0,0.9157137,1.804395,107.6
0,0.915116,1.804395,107.6
0,0.9145182,1.804395,107.6
0,0.9139204,1.804395,107.6
0,0.9133226,1.804395,107.6
0,0.9127249,1.804395,107.6
0,0.9121271,1.804395,107.6
0,0.9115293,1.804395,107.6
0,0.9109315,1.804395,107.6
0,0.9103338,1.804395,107.6
0,0.909736,1.804395,107.6
0,0.9091382,1.804395,107.6
0,0.9085404,1.804395,107.6
0,0.9079427,1.804395,107.6
0,0.9073449,1.804395,107.6
0,0.9067471,1.804395,107.6
0,0.9061493,1.804395,107.6
0,0.9055516,1.804395,107.6
0,0.9049538,1.804395,107.6
0,0.904356,1.804395,107.6
